Fund Slug,Fund Name,Attempted At,Outcome,Announce Date,Source URL,Notes
oxfam-seiif,Small Enterprise Impact Investing Fund (SEIIF),2026-05-04,success_distinct,2012-01-22,https://thegiin.org/news/oxfam-moves-into-fund-world/,"GIIN republishing FT 2012-01-22: ""Oxfam, the anti-poverty charity, is branching out into asset management by launching its first investment fund."" Triangulated by Civil Society 2012-01-24 and Symbiotics PR 2012-01-23. Existing thirdsector.co.uk URL Cloudflare-blocked."
waterequity-gaf3,WaterEquity Global Access Fund (Fund III),2026-05-04,success_distinct,2020-03-12,https://www.dfc.gov/media/press-releases/dfc-approves-nearly-900-million-global-development-projects,"DFC board approval 2020-03-12: ""A $100 million loan to WaterEquity's Global Access Fund will finance household-level access to clean water and sanitation."" First public surfacing of fund's existence; first close 13 months later (2021-04-23)."
waterequity-waci4,WaterEquity Global Access Fund IV,2026-05-04,success_same_day,2023-03-16,https://www.globenewswire.com/news-release/2023/03/16/2628972/0/en/Starbucks-Ecolab-Gap-Inc-Reckitt-and-DuPont-Join-with-U-S-Government-to-Invest-nearly-140-Million-in-Water-Access-Fund.html,"GlobeNewswire 2023-03-16: ""the Water Resilience Coalition...today launched the WRC Investment Portfolio and unveiled an initial supported vehicle, the WaterEquity Global Access Fund IV."" Fund kept private during raise, unveiled simultaneously with first close."
wwb-capital-partners-fund-ii,WWB Capital Partners Fund II,2026-05-04,not_in_public_record,,,"Public record consistently says 'launched in 2019' but no GP-issued press release pins a specific announce date. Checked: existing WWB final-close PR (snippets reference only March 2020 first close + March 2022 final close); Convergence WWBCPII case study (mentions 2018 design-stage grant but no 2019 launch date); EIB project 20180557 (DFI pipeline disclosure dated 2019-04-04, signature 2019-12-19, but third-party not GP). URLs: https://www.convergence.finance/resource/women's-world-banking-capital-partners-ii-(wwbcpii)-case-study/view ; https://www.eib.org/en/projects/pipelines/all/20180557 ; https://www.womensworldbanking.org/insights/womens-world-banking-asset-management-closes-second-fund-for-financial-inclusion-at-103m/"
global-partnerships-sif-6,Global Partnerships Social Investment Fund 6.0,2026-05-04,not_in_public_record,,,"Maturity PR and Convergence case study both date the launch to October 2015 — same month as first close — with no separately documented earlier announcement. Global Partnerships (nonprofit-GP) appears to have raised privately from a known LP base without a public pre-marketing announcement. URLs: https://globalpartnerships.org/global-partnerships-announces-maturity-of-6th-impact-investment-fund/ ; https://www.fmo.nl/project-detail/49501 ; https://www.dfc.gov/sites/default/files/media/documents/9000103867.pdf"
av-ventures-ink-kenya,AV Ventures Impact for Kenya (INK Fund),2026-05-04,success_same_day,2020-12-01,https://www.acdivoca.org/2020/12/av-ventures-launches-fund-in-northern-kenya/,"ACDI/VOCA press release dated December 3 2020: ""WASHINGTON, D.C., December 3, 2020 — AV Ventures has announced the recent launch of the Impact for Northern Kenya Fund."" Phrase 'announced the recent launch' indicates close had just happened — single public moment. announce_date set to 2020-12-01 (month-only) to match first_close_date precision."
idh-farmfit-fund,IDH Farmfit Fund,2026-05-04,success_distinct,2018-11-15,https://idh.org/news/idh-launches-30m-eur-farmfit-business-support-facility-and-100m-eur-farmfit-fund-backed-by-dutch-government-and-us-treasury-guarantee,"IDH press release dated 15 November 2018: ""Today, IDH launches the 100 M EUR IDH Farmfit Fund and 30M EUR IDH Farmfit Business Support facility."" Press also quotes ED Joost Oorthuizen aiming ""at first closure by end of May 2019"" — first close actually slipped to Nov 2019, ~12 months later. Corroborated by USAID media advisory 2018-11-14."
fefisol-i,FEFISOL I (Fonds Europeen de Financement Solidaire pour l'Afrique),2026-05-04,success_distinct,2010-10-29,https://www.eib.org/en/projects/all/20100386,"EIB project disclosure released 2010-10-29: ""Equity participation in the Fonds Europeen de Financement Solidaire pour l'Afrique (FEFISOL or the Fund)"" — discloses manager (SIDI), co-managers (Alterfin, Etimos), target EUR 30m, EIB anchor up to EUR 5m. Status field shows ""Signed | 21/07/2011"" confirming the 2011-07-21 EIB press release coincided with first close, not announce. ~245 days before first close."
fefisol-ii,FEFISOL II,2026-05-04,success_distinct,2020-10-09,https://www.eib.org/en/projects/pipelines/all/20200172,"EIB project pipeline released 2020-10-09: ""Equity participation in a successor microfinance investment fund operating throughout Africa with the objective of providing debt to rural microfinance institutions (MFIs) and small agricultural entities."" Discloses managers ALTERFIN CV / SIDI SCA, total cost ~EUR 35m, EIB EUR 5m anchor. Signed 2021-12-23. Same precedent as fefisol-i and waterequity-gaf3 (DFI public project disclosure = first public surfacing). ~600 days before 2022-06-01 first close."
watercredit-investment-fund-1,WaterCredit Investment Fund 1 (WCIF1),2026-05-04,not_in_public_record,,,"All accessible third-party retrospectives describe WCIF1 only as 'inaugural $11m fund launched in 2014' with year-precision — no month/day, no separate announce-vs-close signal. WCIF1 pre-dates WaterEquity's 2016 rebrand and active press-release machinery (first WaterEquity prweb/prnewswire releases begin 2017 with WCIF3). Unlike WCIF3/GAF3, no OPIC/DFC project disclosure surfaced for WCIF1. URLs: https://www.excelsiorimpact.org/waterequity-1 ; https://nextbillion.net/how-water-org-took-a-leap-of-faith-into-social-impact-investing/ ; https://www.convergence.finance/resource/4VLkTKyP0lzPzDhp6IoqF0/view"
