Family Office Slug,Family Office Name,Attempted At,Outcome,Fund Slug,Source URL,Notes
blue-haven-initiative,Blue Haven Initiative,2026-05-05,success_existing_fund,wwb-capital-partners-fund,https://www.bluehaveninitiative.com/portfolio/funds/,"Blue Haven Initiative (Liesel Pritzker Simmons & Ian Simmons family office) publishes its impact-fund roster on bluehaveninitiative.com/portfolio/funds. Under the ""Private Equity"" section the page lists ""WWB Capital Partners, L.P."" verbatim alongside ""Quona Capital."" Vintage attribution to wwb-capital-partners-fund (Fund I) follows the Cordes precedent — page does not specify Fund I vs Fund II; Blue Haven was founded c. 2012 contemporaneous with Fund I's deployment window. fund_lp_scraper_WWBFundI extended to multi-source (Cordes + Blue Haven). Secondary edge written: Blue Haven listed ""Quona Capital"" verbatim → quona-inclusion-fund (the only tracked Quona vehicle, per KL Felicitas / Cordes precedent); fund_lp_scraper_QuonaInclusionFund also extended to multi-source. Quona Inclusion Fund pipeline status remains blocked (Cloudflare-walled at the manager source); Blue Haven's portfolio page bypasses that block, same pattern as Cordes."
temasek-trust,Temasek Trust / Philanthropy Asia,2026-05-05,rejected_no_lp,,https://www.temasektrust.org.sg/newsroom,"Temasek Trust / Philanthropy Asia Alliance does not appear as an LP/co-investor in any tracked fund. PAA's S$1B Communities (Blue Oceans, Sustainable Land Use, HHP, JET) are grant pledges to thematic communities, not LP commitments. Temasek Trust's named fund-level LP is ABC Impact Fund II (not in tracked list). LeapFrog ECF anchor is Temasek Holdings (the SWF) per leapfroginvest.com — explicitly excluded; press releases name ""Temasek,"" not ""Temasek Trust."" GFCR coalition page omits Temasek Trust. PAA operates as a collaborative-philanthropy convener; its US$100M Temasek Trust seed funds infrastructure/capabilities, not LP capital. Sources reviewed: temasektrust.org.sg newsroom, philanthropyasia.org, GFCR partners page, leapfroginvest.com press releases."
iconiq-impact,ICONIQ Impact,2026-05-05,rejected_out_of_scope,,https://www.iconiq.com/impact,"ICONIQ Impact (philanthropy/DAF arm of ICONIQ Capital, the multi-family office for Mark Zuckerberg, Sheryl Sandberg, Jack Dorsey, Reid Hoffman, etc.) operates as a collaborative-philanthropy / DAF Co-Lab platform — all outflows are GRANTS to operating nonprofits, not LP commitments. iconiq.com/impact describes the model as ""Co-Labs"" (collaborative philanthropy funds), ""Awards"" (grant competitions), and donor advisory services. Identified Co-Labs (all grant-making, none LP into tracked funds): Ocean Co-Lab ($50M, grants), Climate Equity Co-Lab ($50M), Youth Mental Wellbeing Co-Lab, Education & Economic Mobility Co-Lab, Maternal & Infant Health Award. Co-Labs are pooled GRANT funds — Co-Lab grantees are operating nonprofits, not blended-finance investment vehicles, so the GFCR/Bloomberg/Builders Grant-Fund-counts-as-LP precedent does not apply. ICONIQ Growth (the VC arm) is the LP-relevant entity but is explicitly out of scope. Sources reviewed: iconiq.com/impact, Half a Billion report, Climate Equity Co-Lab launch announcement, Ocean Co-Lab PR Newswire release."
trinity-church-wall-street,Trinity Church Wall Street,2026-05-05,rejected_no_lp,,https://trinitychurchnyc.org/stories-news/investing-our-people-trinity-philanthropies-2023,"Trinity Church Wall Street's mission investment program (announced ~2022, up to $100M over 5 years) is geographically and thematically scoped to NYC affordable housing and homelessness — not the global INGO/impact-fund thesis tracked here. Primary-sourced fund commitments: $20M to MSquared Affordable NYC Fund, undisclosed amount in MSquared Impact Partners Fund I, NYC Acquisition Fund, Hudson Square Properties (NYC real-estate JV with Norges/Hines), $8M PRI to Nonprofit Finance Fund (no-interest loans to NYC nonprofits), $150K to a Homelessness Prevention Fund. None are tracked or peer-comparable to INGO global-impact funds. No primary source names Trinity as LP in any tracked fund (no Acumen, LeapFrog, BlueOrchard, responsAbility, Calvert Impact Note, microfinance, water, climate). Sources reviewed: trinitychurchnyc.org Trinity Philanthropies 2023, Trinity's Historic Endowment, Markets Group coverage of the NYC affordable-housing fund seeding, NFF partnership announcement, ProPublica 990 (Trinity Church Endowment Tr, EIN 347180544)."
catholic-investment-services,Catholic Investment Services,2026-05-05,rejected_no_lp,,https://catholicinvest.org/cis-catholic-impact-fund-ii-press-release-june-2023/,"Catholic Investment Services' only publicly named LP commitments are to Hamilton Lane Impact Fund I ($24M, 2020) and Hamilton Lane Impact Fund II ($58.7M, 2023, ~16% of $370M fund). CIS additionally partners with Hamilton Lane and Cendana for its internal CIS Catholic Venture Access Fund and with Wellington Management for public-markets work. Hamilton Lane Impact Fund is a generalist private-equity impact strategy not comparable in size/theme to the INGO/specialist-impact funds tracked here, so MATCH_NEW does not apply. No primary source names CIS as LP/co-investor in any tracked fund (no Acumen, WaterEquity, MicroBuild, Quona, BlueOrchard, Calvert Impact Note, Global Partnerships, etc.). Sources reviewed: catholicinvest.org press release on CIS Catholic Impact Fund II (June 2023), How We Serve, Our Partnerships, news archive 2019–2023, ImpactAlpha coverage of the Hamilton Lane LP commitment."
mercy-investment-services,Mercy Investment Services,2026-05-05,rejected_blocked,,https://calvertimpact.org/resources/faith-investor-profiles,"Strong primary-source signal: Calvert Impact's faith-investor-profiles page lists ""Mercy Investment Services, Inc. and Mercy Partnership Fund"" verbatim (per search-engine snippet for the calvertimpact.org/resources/faith-investor-profiles URL), implying Mercy Investment Services is an investor in the Calvert Impact Community Investment Note (tracked: calvert-impact-community-note). However, the Calvert Impact resources pages return HTTP 403 to bot fetches (calvertimpact.org/resources/mercy-partnership-fund-a-legacy-of-impact-investing and /resources/faith-investor-profiles), and web.archive.org is blocked from this environment. Mercy Investment Services' own site (mercyinvestmentservices.org) does NOT name third-party fund managers in any retrievable page — only its internal Mercy Partnership Fund / Environmental Solutions Fund / Inclusive Opportunities Fund vehicles and direct investees (Southern Bancorp, Friendship Bridge, IFF, ECLOF, One Acre Fund, Pro Mujer, Vita Green Impact Fund, Ilu Women's Empowerment Fund). No verbatim relationship quote retrievable within fetch budget. Re-check candidate: a manual-browser visit to the calvertimpact.org faith-investor-profiles page would likely yield MATCH_TRACKED for calvert-impact-community-note. Sources reviewed: mercyinvestmentservices.org impact-investing pages, Mercy Partnership Fund detail page, accountability report page, impact-investments-map page, news archive (404), WaterEquity investors page (Mercy not listed), DuckDuckGo snippet for calvertimpact.org/resources/faith-investor-profiles."
adrian-dominican-sisters,Adrian Dominican Sisters Portfolio Advisory Board,2026-05-05,rejected_no_lp,,https://adriandominicans.org/PAB/Portfolio-Advisory-Board,"Adrian Dominican Sisters PAB is a direct-loans-only investor (~$37M Community Investment Fund), not a fund LP. Calvert Impact Faith Investor Profile (2021, ctfassets.net/.../faith-investor-profile-adrian.pdf) names PAB as pioneering investor in Equal Exchange (fair trade), Oikocredit (microfinance member shares), Local Enterprise Assistance Fund, and Solar and Energy Loan Fund — all are direct loans / cooperative member shares to operating community organizations, not LP commitments to tracked impact funds. PAB partners with RCIF (Religious Communities Impact Fund), a Catholic-religious-orders pooled vehicle that is a peer/sibling to PAB rather than an INGO-style impact fund (not in tracked list, not credibly comparable in size/structure). PAB does NOT appear as Calvert Note holder in retrievable Calvert disclosures (the Calvert profile is sponsorship/recognition, not LP confirmation). No primary source places PAB as LP in any tracked fund (no WaterEquity, MicroBuild, Acumen, BlueOrchard, responsAbility, Triodos, Mirova, etc.). Sources reviewed: adriandominicans.org PAB landing pages, Calvert Faith Investor Profile PDF, catholicimpact.org PAB story, Shelterforce Nun Funds article (2018), WaterEquity investors page (PAB not listed)."
pritzker-innovation-fund,Pritzker Innovation Fund,2026-05-05,rejected_no_lp,,https://www.pritzkerinnovationfund.org/home,"IMPORTANT FACTUAL CORRECTION: Pritzker Innovation Fund is Rachel Pritzker (President & Founder) and Roland Pritzker (Chairman) — NOT Liesel Pritzker Simmons / Ian Simmons (who run Blue Haven Initiative + Pritzker Traubert Foundation, separate vehicles). The original YAML aliases were wrong; aliases corrected this run. Pritzker Innovation Fund is a 501(c)(3) GRANT-MAKING organization focused on (1) U.S. Democracy and (2) climate / energy think tanks (energy poverty, advanced nuclear, carbon removal, sunlight reflection). Disclosed outflows are grants to operating nonprofits / think tanks: Energy for Growth Hub (principal funder alongside Rockefeller Foundation + Spitzer Charitable Trust), Breakthrough Institute, Third Way, University of Washington climate research. None are blended-finance vehicles, so the GFCR/Bloomberg/Builders Grant-Fund-counts-as-LP precedent does not apply. No primary source names Pritzker Innovation Fund as LP, anchor, or co-investor in any tracked fund. Sources reviewed: pritzkerinnovationfund.org/home, InfluenceWatch profile, Breakthrough Institute Rachel Pritzker bio."
imaginable-futures,Imaginable Futures,2026-05-05,rejected_out_of_scope,,https://imaginablefutures.com/partners/reach-capital/,"Imaginable Futures (the education-focused philanthropy LLC spun out of Omidyar Network in 2020 — distinct from Omidyar Network, Humanity United, eBay Foundation) does have one verifiable fund-level LP commitment, but it is OUT OF SCOPE for the INGO/blended-finance-impact-fund universe tracked here. The verifiable LP relationship: Imaginable Futures is an LP in Reach Capital — primary source imaginablefutures.com/partners/reach-capital/ (Google snippet: ""Imaginable Futures invested in Reach Capital to support early stage innovation in education.""). Reach Capital is a mainstream US ed-tech VC fund, not a credible peer to tracked INGO impact funds (ILFE, BAT SDG Outcomes Fund, Bridges SDG Outcomes Fund, Save the Children Global Ventures). Other named Imaginable Futures relationships read in primary sources as grants / co-funded programs rather than LP commitments: Lemann Foundation joint $1M emergency relief fund (grant), IDB Lab + Lemann + Imaginable Futures impulsiONar edtech programme (grant-co-funded program), NewSchools Venture Fund (grant relationship). No connection found to any tracked fund in the list. Sources reviewed: imaginablefutures.com/partners and /learnings, prnewswire.com 2020 spin-off launch release, global-edtech.com impulsiONar coverage."
tides-foundation,Tides Foundation,2026-05-05,rejected_no_lp,,https://www.tides.org/news/,"Tides Foundation publicly describes its impact-investing program (MRIs, customized DAF portfolios, Beneficial Returns SME loans) but does not name any tracked fund as an LP. tides.org returned 403 to bot fetches; ProPublica/CauseIQ/Instrumentl 990 summaries do not surface Schedule D Part VII/VIII detail; direct 2023 Form 990 PDF was binary-encoded and unreadable via WebFetch. WaterEquity investor page lists Bank of America, Hilton Foundation, Niagara, DFC, Skoll Foundation, Ceniar TH LLC — Tides not listed. No primary-source LP edge between Tides Foundation and any tracked fund found within 8-fetch budget."
